E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
283.58,1998.27,185.71,56.53,6.62,-47.34,99689.29,315178.15,185793.10,1567.64,2602.05,2136.07
284.54,1998.55,184.96,58.49,4.58,-47.99,99530.47,315803.45,185975.04,1567.64,2602.05,2136.07
285.50,1998.76,184.18,57.81,0.80,-49.84,99514.16,316345.88,186457.56,1567.64,2602.05,2136.07
286.42,1998.95,183.35,55.26,-0.95,-53.02,99709.17,316980.56,187366.33,1567.64,2602.05,2136.07
287.30,1999.16,182.47,52.94,0.51,-55.78,100247.66,316262.20,187958.88,1567.64,2602.05,2136.07
288.13,1999.40,181.60,49.89,1.91,-55.75,100772.19,315706.82,187952.60,1567.64,2602.05,2136.07
288.90,1999.65,180.75,46.64,3.01,-53.74,100782.91,315566.23,187632.78,1567.64,2602.05,2136.07
289.67,1999.96,179.86,45.88,6.70,-56.47,100643.33,315464.40,188734.95,1567.64,2602.05,2136.07
290.45,2000.33,178.88,46.48,10.63,-62.61,100798.42,315046.12,191827.90,1567.64,2602.05,2136.07
291.23,2000.77,177.80,47.16,14.71,-68.19,100984.99,314725.07,194200.89,1567.64,2602.05,2136.07
292.06,2001.31,176.64,49.77,21.06,-73.16,102496.32,315074.01,196599.53,1567.64,2602.05,2136.07
292.88,2001.98,175.52,48.95,28.80,-70.81,102157.72,316816.05,196111.16,1567.64,2602.05,2136.07
293.67,2002.77,174.47,47.49,36.60,-66.58,101790.51,319703.98,194473.81,1567.64,2602.05,2136.07
294.58,2003.76,173.40,54.69,48.65,-67.67,102906.07,329171.30,195276.37,1567.64,2602.05,2136.07
295.55,2004.99,172.38,59.06,64.23,-64.91,104248.60,343614.38,193211.49,1567.64,2602.05,2136.07
296.53,2006.39,171.35,59.17,74.76,-65.30,104306.53,350357.28,193547.39,1567.64,2602.05,2136.07
297.51,2007.84,170.20,58.65,77.07,-72.90,104143.03,351321.79,199437.95,1567.64,2602.05,2136.07
298.29,2009.16,169.00,47.13,69.84,-75.87,103716.96,347223.03,202489.21,1567.64,2602.05,2136.07
298.77,2010.23,167.70,28.09,53.86,-81.72,107928.92,328582.03,206963.43,1567.64,2602.05,2136.07
298.91,2011.11,166.53,6.73,42.09,-73.98,110900.97,314267.19,202444.24,1567.64,2602.05,2136.07
298.83,2011.84,165.47,-6.88,32.65,-67.33,110663.33,305036.64,197015.26,1567.64,2602.05,2136.07
298.73,2012.58,164.58,-8.26,33.44,-56.41,110114.27,305836.19,189523.58,1567.64,2602.05,2136.07
298.86,2013.37,163.83,6.42,36.74,-47.93,112959.30,308376.85,181787.91,1567.64,2602.05,2098.46
299.28,2014.16,163.12,24.16,36.08,-44.76,106968.54,308033.37,179287.30,1567.64,2602.05,2098.46
299.88,2014.93,162.51,35.69,35.31,-39.01,101188.51,307968.63,177921.94,1567.64,2602.05,2098.46
300.64,2015.71,162.04,44.99,35.81,-30.45,98671.35,307989.68,176997.41,1567.64,2602.05,2098.46
301.44,2016.37,161.66,48.05,28.17,-24.48,99409.39,306826.55,177176.01,1567.64,2602.05,2098.46
302.17,2016.81,161.39,43.92,14.99,-17.82,98033.01,305011.52,177273.95,1567.64,2602.05,2098.46
302.84,2017.05,161.21,39.47,2.28,-12.42,97237.87,311917.87,176445.18,1567.64,2602.05,2098.46
303.50,2017.09,161.11,39.17,-10.46,-7.39,97249.90,322189.75,178064.30,1567.64,2602.05,2098.46
304.13,2016.90,161.04,37.16,-24.71,-5.37,97387.03,334249.39,178923.22,1567.64,2662.52,2098.46
304.66,2016.47,160.98,31.42,-39.10,-4.56,97417.33,349534.83,179322.57,1567.64,2719.38,2098.46
305.14,2015.93,160.96,27.78,-46.53,-2.58,98547.02,361416.00,179940.27,1567.64,2719.38,2098.46
