E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
475.67,1867.43,558.90,-58.15,-84.07,15.97,299456.27,1134045.70,454949.62,2645.02,8733.99,3268.65
474.85,1866.53,559.18,-53.96,-67.67,13.54,303445.75,1180613.78,454767.56,2645.02,8733.99,3268.65
474.17,1865.94,559.24,-45.14,-48.94,0.39,310465.83,1220029.63,461058.59,2645.02,8733.99,3268.65
473.56,1866.14,559.56,-41.00,0.88,16.76,312567.02,1317566.01,470685.14,2645.02,8733.99,3268.65
473.34,1866.71,560.00,-16.59,23.43,23.76,355506.97,1318319.67,467521.00,2645.02,8733.99,3268.65
473.39,1867.22,560.48,-0.25,20.36,25.98,372429.18,1322038.34,466152.41,2645.02,8733.99,3268.65
473.55,1867.81,560.92,7.48,24.46,23.96,374610.04,1316115.76,468089.21,2645.02,8733.99,3268.65
473.84,1868.65,561.40,14.80,41.02,26.27,379575.59,1304075.48,466081.11,2645.02,8733.99,3268.65
474.11,1869.71,561.86,13.93,54.01,25.33,379320.02,1309168.76,466410.08,2645.02,8733.99,3268.65
474.56,1871.03,562.37,25.14,70.35,28.10,372066.00,1323983.65,468318.39,2645.02,8733.99,3268.65
475.20,1872.28,562.81,36.78,66.02,23.62,365610.67,1322734.49,463429.82,2645.02,8733.99,3268.65
476.12,1873.19,562.91,54.18,44.78,3.15,362237.12,1313328.27,449876.16,2645.02,8733.99,3268.65
477.21,1874.02,562.71,64.85,40.16,-16.39,365819.90,1316126.93,444849.36,2645.02,8733.99,3268.65
478.45,1874.85,562.09,74.27,39.45,-42.15,363152.59,1316791.73,432090.50,2645.02,8733.99,3268.65
479.78,1875.41,561.08,79.92,23.34,-66.41,359291.94,1323661.23,421203.49,2645.02,8733.99,3268.65
481.15,1875.84,559.67,82.09,14.57,-91.10,357871.97,1330387.77,399549.09,2645.02,8733.99,3268.65
482.46,1876.20,557.93,78.77,10.94,-112.07,359063.86,1333056.23,377336.55,2645.02,8733.99,3268.65
483.44,1876.59,555.95,57.84,11.91,-126.75,371521.92,1332920.74,364590.58,2645.02,8733.99,3268.65
483.99,1876.99,553.91,31.26,13.65,-130.69,385445.95,1334089.18,361377.52,2723.77,8733.99,3268.65
484.31,1877.46,551.90,17.08,17.26,-128.90,392940.57,1335406.89,363966.56,2723.77,8733.99,3268.65
484.51,1877.97,549.95,9.36,19.61,-124.98,401604.86,1335101.19,368160.07,2723.77,8733.99,3268.65
484.75,1878.38,548.22,11.83,13.56,-111.10,399581.79,1335286.30,381959.86,2723.77,8733.99,3268.65
484.98,1878.84,546.73,10.79,16.73,-96.23,400502.54,1333966.57,392469.68,2723.77,8733.99,3268.65
485.35,1879.49,545.63,20.06,29.01,-71.96,393245.71,1317341.64,403828.54,2723.77,8733.99,3268.65
485.95,1880.27,545.01,34.66,36.82,-42.09,380520.71,1309812.91,404374.20,2723.77,8733.99,3268.65
486.86,1881.13,544.71,53.44,41.29,-21.99,370251.10,1308973.21,410192.88,2723.77,8733.99,3268.65
487.84,1882.08,544.65,58.17,47.14,-7.32,373176.90,1309987.52,409631.89,2723.77,8733.99,3268.65
488.91,1882.83,544.96,63.62,34.80,15.79,373566.11,1295200.00,400253.50,2723.77,8733.99,3268.65
489.55,1882.06,544.87,36.70,-59.82,-8.92,333499.24,682988.30,342044.23,2699.88,5032.56,2223.22
489.84,1881.54,545.07,14.82,-44.01,8.85,309977.02,677918.01,322587.86,2699.88,4401.25,2223.22
489.99,1881.63,545.25,6.29,-6.52,7.77,307955.08,583546.79,322914.90,2699.88,4401.25,2223.22
489.88,1881.90,545.41,-9.76,4.87,6.45,305369.42,560310.57,324135.55,2699.88,4401.25,2223.22
489.52,1881.86,545.48,-25.75,-14.11,1.11,307091.27,582096.50,331064.67,2699.88,4401.25,2223.22
488.78,1881.04,545.48,-48.93,-62.98,-3.53,307282.23,542086.47,339804.01,2699.88,4401.25,2223.22
487.89,1879.62,545.18,-58.72,-100.83,-22.18,312927.67,495974.79,338668.12,2699.88,4401.25,2223.22
487.05,1878.31,544.74,-55.44,-92.99,-30.79,314275.79,500809.58,338728.31,2699.88,4401.25,2223.22
486.09,1877.30,544.18,-63.00,-75.05,-38.43,305604.63,521295.83,340200.47,2699.88,4401.25,2223.22
484.75,1877.19,543.52,-86.36,-18.58,-44.75,298449.35,730307.61,340968.61,2699.88,5463.12,2223.22
483.58,1878.10,543.27,-76.25,44.54,-18.63,321907.46,958944.39,387460.63,2699.88,6037.98,2990.75
482.35,1878.51,542.73,-79.80,13.63,-37.20,316543.25,1035228.97,413332.17,2699.88,6037.98,3012.89
